year,month,precip_mm,temp_C
2000,1,0.51,22.02
2000,2,0.83,23.25
2000,3,1.61,23.85
2000,4,5.5,22.6
2000,5,4.96,21.47
2000,6,2.19,20.35
2000,7,3.18,19.52
2000,8,4.07,19.92
2000,9,4.67,20.82
2000,10,5.88,20.83
2000,11,3.79,20.82
2000,12,2.95,21.16
2001,1,5.91,20.44
2001,2,1.76,22.06
2001,3,6.63,22.02
2001,4,8.38,21.3
2001,5,7.19,20.65
2001,6,4.62,19.24
2001,7,4.2,18.99
2001,8,5.57,19.43
2001,9,5.08,20.07
2001,10,6.81,20.22
2001,11,6.31,19.82
2001,12,0.74,20.46
2002,1,3.64,20.23
2002,2,1.53,21.59
2002,3,4.95,22.03
2002,4,8.96,22.08
2002,5,6.0,20.49
2002,6,3.09,20.03
2002,7,2.73,20.27
2002,8,4.05,19.9
2002,9,2.18,21.46
2002,10,7.16,21.2
2002,11,7.41,20.57
2002,12,6.22,20.27
2003,1,2.27,20.52
2003,2,1.42,22.15
2003,3,3.54,23.47
2003,4,13.21,21.61
2003,5,7.42,20.18
2003,6,5.26,19.47
2003,7,3.04,19.07
2003,8,5.07,19.27
2003,9,3.47,20.87
2003,10,4.27,21.33
2003,11,4.44,20.9
2003,12,3.87,19.96
2004,1,3.2,21.43
2004,2,2.17,21.96
2004,3,3.66,22.71
2004,4,12.05,20.77
2004,5,4.04,20.26
2004,6,2.33,19.73
2004,7,2.23,19.56
2004,8,3.94,20.15
2004,9,5.02,20.9
2004,10,3.53,21.6
2004,11,4.59,20.85
2004,12,3.57,20.99
2005,1,2.88,21.44
2005,2,1.92,23.08
2005,3,4.45,22.88
2005,4,4.71,22.45
2005,5,7.59,20.14
2005,6,2.05,20.13
2005,7,2.82,19.78
2005,8,3.51,20.38
2005,9,3.45,21.05
2005,10,3.6,21.67
2005,11,2.67,21.51
2005,12,0.36,22.5
2006,1,1.12,23.28
2006,2,1.69,23.85
2006,3,5.38,22.25
2006,4,9.55,20.81
2006,5,6.37,20.14
2006,6,2.63,19.78
2006,7,2.12,19.68
2006,8,2.53,20.23
2006,9,5.33,21.01
2006,10,7.18,21.66
2006,11,13.46,19.87
2006,12,7.07,19.59
2007,1,3.95,20.1
2007,2,5.02,20.35
2007,3,3.18,21.39
2007,4,8.5,21.32
2007,5,7.21,20.61
2007,6,3.34,18.83
2007,7,3.97,18.75
2007,8,4.14,19.3
2007,9,5.93,19.71
2007,10,4.94,20.6
2007,11,2.56,20.67
2007,12,2.69,20.19
2008,1,1.39,21.01
2008,2,3.58,21.21
2008,3,8.95,21.45
2008,4,7.19,20.56
2008,5,5.12,20.72
2008,6,3.32,19.33
2008,7,2.85,18.72
2008,8,3.89,19.69
2008,9,4.67,20.46
2008,10,9.08,20.24
2008,11,6.77,19.9
2008,12,0.7,20.43
2009,1,2.18,21.05
2009,2,0.92,22.11
2009,3,3.01,23.4
2009,4,9.17,21.01
2009,5,7.92,20.04
2009,6,2.52,20.46
2009,7,2.71,19.54
2009,8,3.17,20.41
2009,9,4.21,21.34
2009,10,4.93,21.02
2009,11,3.81,20.96
2009,12,7.97,20.55
2010,1,4.47,20.22
2010,2,6.17,21.3
2010,3,8.32,20.81
2010,4,10.11,21.16
2010,5,8.54,20.34
2010,6,3.91,19.69
2010,7,3.44,19.07
2010,8,3.03,19.61
2010,9,6.31,20.21
2010,10,6.31,20.35
2010,11,3.54,20.36
2010,12,2.82,20.15
2011,1,1.16,20.68
2011,2,1.64,21.67
2011,3,7.9,21.84
2011,4,5.89,21.61
2011,5,6.91,20.45
2011,6,4.61,19.43
2011,7,3.04,19.57
2011,8,6.55,19.24
2011,9,5.08,19.8
2011,10,7.34,20.42
2011,11,13.29,19.37
2011,12,2.47,19.57
2012,1,0.11,19.96
2012,2,1.22,21.27
2012,3,1.39,22.31
2012,4,13.46,20.23
2012,5,8.85,19.7
2012,6,7.98,19.03
2012,7,2.3,18.71
2012,8,4.88,19.2
2012,9,6.03,20.11
2012,10,7.4,20.59
2012,11,8.86,20.05
2012,12,6.64,20.06
2013,1,2.21,20.37
2013,2,0.8,21.24
2013,3,7.41,21.98
2013,4,14.79,19.95
2013,5,6.71,20.17
2013,6,2.38,19.38
2013,7,2.18,18.98
2013,8,4.66,19.26
2013,9,5.61,20.22
2013,10,3.01,20.55
2013,11,4.71,20.32
2013,12,4.31,20.1
2014,1,0.56,21.32
2014,2,2.12,21.61
2014,3,6.06,21.99
2014,4,2.69,21.55
2014,5,6.34,20.95
2014,6,3.64,20.11
2014,7,2.65,19.69
2014,8,4.23,19.32
2014,9,3.76,20.43
2014,10,7.39,20.54
2014,11,4.98,20.49
2014,12,2.8,20.61
2015,1,0.25,21.01
2015,2,1.49,23.03
2015,3,2.46,23.6
2015,4,13.54,20.23
2015,5,13.35,20.13
2015,6,5.76,19.43
2015,7,2.91,19.75
2015,8,2.92,20.28
2015,9,4.42,20.84
2015,10,8.34,21.18
2015,11,18.86,19.86
2015,12,6.76,19.97
2016,1,3.13,20.61
2016,2,0.62,21.39
2016,3,3.0,22.58
2016,4,13.92,21.12
2016,5,8.27,19.98
2016,6,3.45,19.56
2016,7,4.95,19.18
2016,8,3.11,19.73
2016,9,5.94,20.4
2016,10,2.97,20.95
2016,11,5.34,20.43
2016,12,0.57,20.48
2017,1,1.6,21.24
2017,2,3.77,22.01
2017,3,4.71,22.4
2017,4,7.28,21.71
2017,5,12.97,20.49
2017,6,4.0,20.1
2017,7,6.3,19.16
2017,8,5.97,19.76
2017,9,10.32,19.92
2017,10,8.09,20.48
2017,11,12.11,19.93
2017,12,1.16,19.93
2018,1,0.66,20.15
2018,2,1.68,21.7
2018,3,10.5,20.15
2018,4,17.07,19.16
2018,5,17.02,19.65
2018,6,9.44,18.99
2018,7,5.9,18.61
2018,8,6.25,19.04
2018,9,4.11,20.36
2018,10,5.45,20.39
2018,11,5.14,20.78
2018,12,5.79,20.23
2019,1,0.81,20.86
2019,2,0.77,22.2
2019,3,2.68,22.79
2019,4,6.0,22.76
2019,5,10.57,20.92
2019,6,9.67,19.22
2019,7,5.92,19.24
2019,8,8.8,19.53
2019,9,7.37,20.2
2019,10,17.9,20.23
2019,11,13.3,20.13
2019,12,12.63,19.58
2020,1,8.12,20.23
2020,2,4.23,20.73
2020,3,11.27,21.02
2020,4,12.97,20.37
2020,5,14.83,20.17
2020,6,11.3,19.17
2020,7,5.68,18.71
2020,8,9.16,19.22
2020,9,9.8,19.96
2020,10,10.22,20.13
2020,11,11.23,20.32
2020,12,2.6,19.93
2021,1,2.58,19.9
2021,2,2.0,20.72
2021,3,2.7,21.57
2021,4,11.98,20.8
2021,5,11.67,20.05
2021,6,2.12,19.65
2021,7,4.22,18.95
2021,8,5.33,19.82
2021,9,8.31,20.11
2021,10,5.24,20.8
2021,11,5.55,21.04
2021,12,5.37,20.38
2022,1,2.73,19.77
2022,2,2.24,20.89
2022,3,3.35,22.1
2022,4,8.5,21.36
2022,5,9.57,20.39
2022,6,4.59,19.35
2022,7,6.75,19.24
2022,8,9.19,19.11
2022,9,9.68,19.92
2022,10,4.64,20.54
2022,11,5.98,20.19
2022,12,4.7,20.13
2023,1,0.54,19.96
2023,2,0.98,21.84
2023,3,14.82,20.89
2023,4,15.95,20.64
2023,5,9.8,20.65
2023,6,7.1,20.03
2023,7,4.22,19.69
2023,8,4.95,20.54
2023,9,9.91,20.78
2023,10,9.72,21.34
2023,11,22.77,20.24
2023,12,3.55,20.61
